Model,Category,Score,Latency
nvidia/llama-3.3-nemotron-super-49b-v1.5,tool_calling,0.0000,0.0035
nvidia/nemotron-3-content-safety,coding,0.0000,0.0032
nvidia/nemotron-3-content-safety,math,0.0000,0.0034
nvidia/nemotron-3-content-safety,writing,0.0000,0.0039
nvidia/nemotron-3-content-safety,tool_calling,0.0000,0.0040
nvidia/nemotron-3-nano-30b-a3b,coding,0.0000,0.0028
nvidia/nemotron-3-nano-30b-a3b,math,0.0000,0.0031
nvidia/nemotron-3-nano-30b-a3b,writing,0.0000,0.0049
nvidia/nemotron-3-nano-30b-a3b,tool_calling,0.0000,0.0025
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,coding,0.0000,0.0035
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,math,0.0000,0.0039
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,writing,0.0000,0.0033
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning,tool_calling,0.0000,0.0037
nvidia/nemotron-3-super-120b-a12b,coding,0.0000,0.0030
nvidia/nemotron-3-super-120b-a12b,math,0.0000,0.0033
nvidia/nemotron-3-super-120b-a12b,writing,0.0000,0.0035
nvidia/nemotron-3-super-120b-a12b,tool_calling,0.0000,0.0038
nvidia/nemotron-3.5-content-safety,coding,0.0000,0.0038
nvidia/nemotron-3.5-content-safety,math,0.0000,0.0033
nvidia/nemotron-3.5-content-safety,writing,0.0000,0.0055
nvidia/nemotron-3.5-content-safety,tool_calling,0.0000,0.0031
nvidia/nemotron-content-safety-reasoning-4b,coding,0.0000,0.0032
nvidia/nemotron-content-safety-reasoning-4b,math,0.0000,0.0030
nvidia/nemotron-content-safety-reasoning-4b,writing,0.0000,0.0034
nvidia/nemotron-content-safety-reasoning-4b,tool_calling,0.0000,0.0039
nvidia/nemotron-mini-4b-instruct,coding,0.0000,0.0036
nvidia/nemotron-mini-4b-instruct,math,0.0000,0.0033
nvidia/nemotron-mini-4b-instruct,writing,0.0000,0.0030
nvidia/nemotron-mini-4b-instruct,tool_calling,0.0000,0.0032
nvidia/nemotron-nano-12b-v2-vl,coding,0.0000,0.0035
nvidia/nemotron-nano-12b-v2-vl,math,0.0000,0.0038
nvidia/nemotron-nano-12b-v2-vl,writing,0.0000,0.0067
nvidia/nemotron-nano-12b-v2-vl,tool_calling,0.0000,0.0028
nvidia/nvidia-nemotron-nano-9b-v2,coding,0.0000,0.0034
nvidia/nvidia-nemotron-nano-9b-v2,math,0.0000,0.0038
nvidia/nvidia-nemotron-nano-9b-v2,writing,0.0000,0.0032
nvidia/nvidia-nemotron-nano-9b-v2,tool_calling,0.0000,0.0031
nvidia/riva-translate-4b-instruct-v1.1,coding,0.0000,0.0037
nvidia/riva-translate-4b-instruct-v1.1,math,0.0000,0.0034
nvidia/riva-translate-4b-instruct-v1.1,writing,0.0000,0.0030
nvidia/riva-translate-4b-instruct-v1.1,tool_calling,0.0000,0.0031
openai/gpt-oss-20b,coding,0.0000,0.0033
openai/gpt-oss-20b,math,0.0000,0.0054
openai/gpt-oss-20b,writing,0.0000,0.0033
openai/gpt-oss-20b,tool_calling,0.0000,0.0047
qwen/qwen3-next-80b-a3b-instruct,coding,0.0000,0.0036
qwen/qwen3-next-80b-a3b-instruct,math,0.0000,0.0034
qwen/qwen3-next-80b-a3b-instruct,writing,0.0000,0.0035
qwen/qwen3-next-80b-a3b-instruct,tool_calling,0.0000,0.0027
qwen/qwen3.5-122b-a10b,coding,0.0000,0.0032
qwen/qwen3.5-122b-a10b,math,0.0000,0.0041
qwen/qwen3.5-122b-a10b,writing,0.0000,0.0031
qwen/qwen3.5-122b-a10b,tool_calling,0.0000,0.0031
sarvamai/sarvam-m,coding,0.0000,0.0036
sarvamai/sarvam-m,math,0.0000,0.0058
sarvamai/sarvam-m,writing,0.0000,0.0039
sarvamai/sarvam-m,tool_calling,0.0000,0.0036
stepfun-ai/step-3.5-flash,coding,0.0000,0.0030
stepfun-ai/step-3.5-flash,math,0.0000,0.0035
stepfun-ai/step-3.5-flash,writing,0.0000,0.0041
stepfun-ai/step-3.5-flash,tool_calling,0.0000,0.0040
stepfun-ai/step-3.7-flash,coding,0.0000,0.0031
stepfun-ai/step-3.7-flash,math,0.0000,0.0033
stepfun-ai/step-3.7-flash,writing,0.0000,0.0030
stepfun-ai/step-3.7-flash,tool_calling,0.0000,0.0042
stockmark/stockmark-2-100b-instruct,coding,0.0000,0.0037
stockmark/stockmark-2-100b-instruct,math,0.0000,0.0056
stockmark/stockmark-2-100b-instruct,writing,0.0000,0.0037
stockmark/stockmark-2-100b-instruct,tool_calling,0.0000,0.0034
upstage/solar-10.7b-instruct,coding,0.0000,0.0033
upstage/solar-10.7b-instruct,math,0.0000,0.0040
upstage/solar-10.7b-instruct,writing,0.0000,0.0032
upstage/solar-10.7b-instruct,tool_calling,0.0000,0.0033
z-ai/glm-5.1,coding,0.0000,0.0035
z-ai/glm-5.1,math,0.0000,0.0025
z-ai/glm-5.1,writing,0.0000,0.0030
z-ai/glm-5.1,tool_calling,0.0000,0.0030
